ESPECIE ARBUSTO,ALTURA,TIPOLOGÍA,UG,BARRIO,,DISTRITO,ELEMENTO,FECHAPLANT,CMARRAS,X,Y
Acacia saligna,40,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,162,186","414,487,740"
Acacia saligna,35,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,173,842","414,487,826"
Acacia saligna,40,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,169,048","414,486,269"
Acacia saligna,20,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,162,099","414,487,639"
Acacia saligna,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,207,434","414,480,447"
Acacia saligna,35,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,150,477","414,495,730"
Acacia saligna,19,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,174,164","414,487,247"
Acacia saligna,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,127,618","414,491,412"
Acacia saligna,60,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,210,960","414,500,972"
Acacia saligna,30,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,207,581","414,480,223"
Acacia saligna,20,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,206,372","414,502,538"
Acacia saligna,50,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,169,542","414,486,216"
Acacia saligna,20,Parque Periurbano,Parque Guadaira I,POLIGONO SUR,,Sur,Arbusto,,0,"23,856,198","413,882,132"
Acacia saligna,09,Parque Periurbano,Parque Guadaira I,POLIGONO SUR,,Sur,Arbusto,,0,"23,900,814","413,936,588"
Acacia saligna,21,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,115,246","414,497,441"
Acacia saligna,45,Parque Periurbano,Parque del Tamarguillo,COLORES-ENTREPARQUES,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,162,252","414,487,864"
Acacia sp,31,Medianas y Glorietas,Avenida Expo 92,TRIANA OESTE,,Triana,Arbusto,,0,"23,318,311","414,231,811"
Acanthus mollis,,Parque o Jardín Histórico,Z.V. Parque de la Buhaira,LA BUHAIRA,,Nervión,Arbusto,,0,"23,615,495","414,148,355"
Acanthus mollis,,Parque o Jardín Histórico,Z.V. Parque de la Buhaira,LA BUHAIRA,,Nervión,Arbusto,,0,"23,615,529","414,148,673"
Acanthus mollis,,Parque o Jardín Histórico,Z.V. Parque de la Buhaira,LA BUHAIRA,,Nervión,Arbusto,,0,"23,615,574","414,148,980"
Acanthus mollis,,Parque o Jardín Histórico,Z.V. Parque de la Buhaira,LA BUHAIRA,,Nervión,Arbusto,,0,"23,615,547","414,149,253"
Acanthus mollis,,Parque o Jardín Histórico,Z.V. Parque de la Buhaira,LA BUHAIRA,,Nervión,Arbusto,,0,"23,615,580","414,149,548"
Acanthus mollis,,Parque o Jardín Histórico,Z.V. Parque de la Buhaira,LA BUHAIRA,,Nervión,Arbusto,,0,"23,611,914","414,142,241"
Acanthus mollis,,Parque Urbano,Z.V. Parque Cavestany,LA CALZADA,,Nervión,Arbusto,,0,"23,626,878","414,236,379"
Acanthus mollis,12,Plaza o Jardín,"ENCINA DEL REY, JARDINES PLAZA",PARQUE ALCOSA-JARDINES DEL EDEN,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,148,271","414,422,438"
Acanthus mollis,12,Plaza o Jardín,"ENCINA DEL REY, JARDINES PLAZA",PARQUE ALCOSA-JARDINES DEL EDEN,,Este-Alcosa-Torreblanca,Arbusto,,0,"24,155,180","414,418,817"
"Acokanthera
spectabilis",15,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,528,648","414,051,512"
Adhatoda basica,17,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,524,646","414,082,113"
Adhatoda basica,17,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,524,944","414,081,925"
Adhatoda basica,30,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,549,248","414,041,352"
Adhatoda basica,30,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,549,031","414,041,459"
Adhatoda basica,30,Parque Urbano,Parque de Amate,"SANTA AURELIA-CANTABRICO-ATLANTICO-
LA ROMERIA",,Cerro-Amate,Arbusto,,0,"23,942,008","414,134,277"
Adhatoda basica,30,Parque Urbano,Parque de Amate,"SANTA AURELIA-CANTABRICO-ATLANTICO-
LA ROMERIA",,Cerro-Amate,Arbusto,,0,"23,942,212","414,134,972"
ESPECIE ARBUSTO,ALTURA,TIPOLOGÍA,UG,BARRIO,,DISTRITO,ELEMENTO,FECHAPLANT,CMARRAS,X,Y
Adhatoda basica,30,Parque Urbano,Parque de Amate,"SANTA AURELIA-CANTABRICO-ATLANTICO-
LA ROMERIA",,Cerro-Amate,Arbusto,,0,"23,942,164","414,135,392"
Adhatoda basica,20,Parque Urbano,Parque de Amate,"SANTA AURELIA-CANTABRICO-ATLANTICO-
LA ROMERIA",,Cerro-Amate,Arbusto,,0,"23,941,531","414,142,376"
Adhatoda basica,40,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,535,435","414,144,377"
Adhatoda basica,35,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,538,115","414,149,762"
Adhatoda basica,30,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,534,987","414,143,406"
Adhatoda basica,20,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,544,307","414,175,455"
Adhatoda basica,30,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,542,554","414,158,604"
Adhatoda basica,15,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,553,118","414,179,934"
Adhatoda basica,30,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,536,221","414,145,855"
Adhatoda basica,15,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,553,313","414,180,326"
Adhatoda basica,20,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,550,974","414,181,469"
Adhatoda basica,20,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,549,165","414,176,113"
Adhatoda basica,20,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,550,545","414,180,742"
Adhatoda basica,30,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,537,576","414,148,582"
Adhatoda basica,30,Parque o Jardín Histórico,Jardines de Murillo,SANTA CRUZ,,Casco Antiguo,Arbusto,,0,"23,537,159","414,147,736"
Adhatoda basica,40,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,532,077","414,035,944"
Adhatoda basica,40,Parque o Jardín Histórico,Parque de María Luisa,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,535,038","414,039,421"
Adhatoda basica,20,Parque o Jardín Histórico,Jardines Glorieta Goya,EL PRADO-PARQUE MARIA LUISA,,Sur,Arbusto,,0,"23,543,731","414,107,264"
