,Especie,Parque,Tipologia,Barrio,Distrito,Elemento,X,Y,Porte,origen,importancia_polinizadores,notas,FRUTOs
7466,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,694,940","413,988,135",arbusto,exotica,media,,
7467,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,698,172","413,986,135",arbusto,exotica,media,,
7468,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,692,342","413,984,402",arbusto,exotica,media,,
7469,Elaeagnus pugens,"URBANIZACIóN P-7 (PINO MONTANO), PARQUE",Parque Urbano,BARRIADA PINO MONTANO,Norte,Arbusto,"23,706,250","414,634,533",arbusto,exotica,media,,
7470,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,699,829","413,995,266",arbusto,exotica,media,,
7471,Elaeagnus pugens,"MÉDICOS SIN FRONTERAS, JARDINES",Parque Urbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,120,418","414,338,145",arbusto,exotica,media,,
7472,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,687,615","413,977,586",arbusto,exotica,media,,
7473,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,687,569","413,977,717",arbusto,exotica,media,,
7474,Elaeagnus pugens,"EMILIO LEMOS, PARQUE",Parque Urbano,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,Arbusto,"24,191,313","414,425,936",arbusto,exotica,media,,
7475,Elaeagnus pugens,"URBANIZACIóN P-7 (PINO MONTANO), PARQUE",Parque Urbano,BARRIADA PINO MONTANO,Norte,Arbusto,"23,706,808","414,635,279",arbusto,exotica,media,,
7476,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,697,454","413,991,731",arbusto,exotica,media,,
7477,Elaeagnus pugens,Jardines de Murillo,Parque o Jardín Histórico,SANTA CRUZ,Casco Antiguo,Arbusto,"23,545,305","414,164,184",arbusto,exotica,media,,
7478,Elaeagnus pugens,"MÉDICOS SIN FRONTERAS, JARDINES",Parque Urbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,118,550","414,337,187",arbusto,exotica,media,,
7479,Elaeagnus pugens,Z.V. Jardines del Prado de San Sebastián,Parque Urbano,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,544,931","414,124,347",arbusto,exotica,media,,
7480,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,694,982","413,987,899",arbusto,exotica,media,,
7481,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,691,306","413,982,997",arbusto,exotica,media,,
7482,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,695,096","413,988,173",arbusto,exotica,media,,
7483,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,699,720","413,995,110",arbusto,exotica,media,,
7484,Elaeagnus pugens,"EMILIO LEMOS, PARQUE",Parque Urbano,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,Arbusto,"24,191,500","414,425,628",arbusto,exotica,media,,
7485,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,698,378","413,986,252",arbusto,exotica,media,,
7486,Elaeagnus pugens,"URBANIZACIóN P-7 (PINO MONTANO), PARQUE",Parque Urbano,BARRIADA PINO MONTANO,Norte,Arbusto,"23,706,605","414,635,055",arbusto,exotica,media,,
7487,Elaeagnus pugens,Z.V. Jardines Manuel Benítez Carrasco,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,700,000","413,995,219",arbusto,exotica,media,,
7488,Elaeagnus pugens,"MÉDICOS SIN FRONTERAS, JARDINES",Parque Urbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,138,440","414,347,891",arbusto,exotica,media,,
7489,Elaeagnus pugens,"URBANIZACIóN P-7 (PINO MONTANO), PARQUE",Parque Urbano,BARRIADA PINO MONTANO,Norte,Arbusto,"23,706,436","414,634,758",arbusto,exotica,media,,
7490,Elaeagnus sp,"Gema, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,076,438","414,335,504",arbusto,exotica,media,,
7491,Elaeagnus sp,"Gema, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,Arbusto,"24,082,691","414,333,555",arbusto,exotica,media,,
7492,Elaeagnus sp,Z.V. Jardín de la Solidaridad,Plaza o Jardín,BELLAVISTA,Bellavista-La Palmera,Arbusto,"23,717,426","413,498,584",arbusto,exotica,media,,
7493,Elaeagnus sp,Z.V. Jardines del Prado de San Sebastián,Parque Urbano,EL PRADO-PARQUE MARIA LUISA,Sur,Arbusto,"23,566,195","414,109,879",arbusto,exotica,media,,
7494,Elaeagnus sp,Z.V. Jardín de la Solidaridad,Plaza o Jardín,BELLAVISTA,Bellavista-La Palmera,Arbusto,"23,717,866","413,498,570",arbusto,exotica,media,,
7495,Elaeagnus x ebbingei,Z.V. Jardines del Paseo de Europa,Parque Urbano,EL CANO-BERMEJALES,Bellavista-La Palmera,Arbusto,"23,603,480","413,753,805",arbusto,exotica,media,,
7496,Elaeagnus x ebbingei,Z.V. Jardines del Paseo de Europa,Parque Urbano,EL CANO-BERMEJALES,Bellavista-La Palmera,Arbusto,"23,603,465","413,754,001",arbusto,exotica,media,,
7497,Erica carnea,FIDELIO,Arbolado Viario,SANTA CLARA,San Pablo-Santa Justa,Arbusto,"23,902,343","414,373,593",arbusto,nativa,media,,
7498,Erica carnea,FIDELIO,Arbolado Viario,SANTA CLARA,San Pablo-Santa Justa,Arbusto,"23,901,860","414,374,436",arbusto,nativa,media,,
7499,Eriobotrya quadrangularis,Z.V. Rotonda final Palmete,Medianas y Glorietas,,,Arbusto,"24,105,135","414,019,300",arbusto,exotica,media,,
7500,Erythrina caffra,Z.V. Parque Celestino Mutis,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,666,379","413,940,337",arbusto,exotica,baja,,
7501,Erythrina caffra,Z.V. Parque Celestino Mutis,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,668,098","413,955,165",arbusto,exotica,baja,,
7502,Erythrina caffra,Z.V. Parque Celestino Mutis,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,677,737","413,956,818",arbusto,exotica,baja,,
7503,Erythrina caffra,Z.V. Parque Celestino Mutis,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,661,320","413,938,574",arbusto,exotica,baja,,
7504,Erythrina caffra,Z.V. Parque Celestino Mutis,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,678,115","413,957,416",arbusto,exotica,baja,,
7505,Erythrina caffra,Z.V. Parque Celestino Mutis,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,660,802","413,938,856",arbusto,exotica,baja,,
7506,Erythrina caffra,Z.V. Parque Celestino Mutis,Parque Urbano,POLIGONO SUR,Sur,Arbusto,"23,668,206","413,951,229",arbusto,exotica,baja,,
7507,Erythrina crista-galli,Jardines de La Caridad,Parque o Jardín Histórico,ARENAL,Casco Antiguo,Árbol Zona Verde,"23,473,396","414,167,147",arbol,exotica,baja,,
7508,Erythrina crista-galli,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,199,699","414,441,139",arbol,exotica,baja,,
7591,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,345,893","414,453,735",arbol,exotica,baja,,
7592,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,964,869","414,288,431",arbol,exotica,baja,,
7593,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,347,378","414,450,492",arbol,exotica,baja,,
7594,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,002,893","414,326,402",arbol,exotica,baja,,
7595,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,344,328","414,443,519",arbol,exotica,baja,,
7596,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,985,507","414,287,395",arbol,exotica,baja,,
7597,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,032,876","414,284,291",arbol,exotica,baja,,
7598,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,033,718","414,295,461",arbol,exotica,baja,,
7599,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,313,579","414,455,886",arbol,exotica,baja,,
7600,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,975,710","414,297,198",arbol,exotica,baja,,
7601,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,330,243","414,427,263",arbol,exotica,baja,,
7602,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,345,897","414,448,079",arbol,exotica,baja,,
7603,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,346,870","414,446,090",arbol,exotica,baja,,
7604,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,346,053","414,449,232",arbol,exotica,baja,,
7605,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,980,836","414,287,959",arbol,exotica,baja,,
7606,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,347,822","414,447,109",arbol,exotica,baja,,
7607,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,033,712","414,296,924",arbol,exotica,baja,,
7608,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,312,265","414,457,445",arbol,exotica,baja,,
7609,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,003,013","414,328,565",arbol,exotica,baja,,
7610,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,324,002","414,426,169",arbol,exotica,baja,,
7611,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,312,094","414,455,099",arbol,exotica,baja,,
7612,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,346,852","414,453,544",arbol,exotica,baja,,
7613,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,033,515","414,293,604",arbol,exotica,baja,,
7614,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,324,710","414,455,351",arbol,exotica,baja,,
7615,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,342,353","414,448,781",arbol,exotica,baja,,
7616,Eucalyptus camaldulensis,"Rastrillo, Calle",Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,958,367","414,288,586",arbol,exotica,baja,,
7617,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,947,069","414,289,593",arbol,exotica,baja,,
7618,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,315,922","414,455,226",arbol,exotica,baja,,
7619,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,344,202","414,447,798",arbol,exotica,baja,,
7620,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,987,972","414,287,159",arbol,exotica,baja,,
7621,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,321,064","414,458,558",arbol,exotica,baja,,
7622,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,326,611","414,425,992",arbol,exotica,baja,,
7623,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,033,274","414,289,250",arbol,exotica,baja,,
7624,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,324,763","414,458,976",arbol,exotica,baja,,
7625,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,326,554","414,457,467",arbol,exotica,baja,,
7626,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,272,138","414,440,921",arbol,exotica,baja,,
7627,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,032,824","414,283,119",arbol,exotica,baja,,
7628,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,345,624","414,446,308",arbol,exotica,baja,,
7629,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,319,585","414,455,327",arbol,exotica,baja,,
7630,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,317,893","414,455,714",arbol,exotica,baja,,
7631,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,003,946","414,328,510",arbol,exotica,baja,,
7632,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,321,921","414,458,903",arbol,exotica,baja,,
7633,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,346,401","414,449,347",arbol,exotica,baja,,
7634,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,958,047","414,288,970",arbol,exotica,baja,,
7635,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,347,624","414,447,097",arbol,exotica,baja,,
7636,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,342,600","414,450,925",arbol,exotica,baja,,
7637,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,347,635","414,449,362",arbol,exotica,baja,,
7638,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,324,105","414,455,955",arbol,exotica,baja,,
7639,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,331,350","414,447,557",arbol,exotica,baja,,
7640,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,033,408","414,291,419",arbol,exotica,baja,,
7641,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,346,085","414,450,477",arbol,exotica,baja,,
7642,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,346,695","414,451,975",arbol,exotica,baja,,
7643,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,327,580","414,426,010",arbol,exotica,baja,,
7644,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,328,673","414,425,798",arbol,exotica,baja,,
7645,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,034,141","414,302,067",arbol,exotica,baja,,
7646,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,181,837","414,484,202",arbol,exotica,baja,,
7647,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,033,331","414,290,557",arbol,exotica,baja,,
7648,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,178,537","414,483,212",arbol,exotica,baja,,
7649,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,331,775","414,428,072",arbol,exotica,baja,,
7650,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,342,087","414,457,150",arbol,exotica,baja,,
7651,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,325,307","414,426,063",arbol,exotica,baja,,
7652,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,032,264","414,278,481",arbol,exotica,baja,,
7653,Eucalyptus camaldulensis,"Rastrillo, Calle",Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,957,834","414,288,586",arbol,exotica,baja,,
7654,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,342,896","414,450,425",arbol,exotica,baja,,
7655,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,314,784","414,458,871",arbol,exotica,baja,,
7656,Eucalyptus camaldulensis,"Rastrillo, Calle",Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,956,511","414,288,650",arbol,exotica,baja,,
7657,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,347,792","414,449,588",arbol,exotica,baja,,
7658,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,084,499","414,249,084",arbol,exotica,baja,,
7659,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,311,039","414,456,503",arbol,exotica,baja,,
7660,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,032,626","414,279,991",arbol,exotica,baja,,
7661,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,953,631","414,289,269",arbol,exotica,baja,,
7662,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,328,515","414,426,063",arbol,exotica,baja,,
7663,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,342,047","414,449,039",arbol,exotica,baja,,
7664,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,342,938","414,448,373",arbol,exotica,baja,,
7665,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,325,528","414,458,211",arbol,exotica,baja,,
7666,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,346,125","414,446,593",arbol,exotica,baja,,
7667,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,342,704","414,453,265",arbol,exotica,baja,,
7668,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,341,763","414,456,680",arbol,exotica,baja,,
7669,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,319,150","414,458,925",arbol,exotica,baja,,
7670,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,003,782","414,328,116",arbol,exotica,baja,,
7671,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,303,921","414,454,964",arbol,exotica,baja,,
7672,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,324,521","414,458,634",arbol,exotica,baja,,
7673,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,347,410","414,446,373",arbol,exotica,baja,,
7674,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,259,642","414,443,142",arbol,exotica,baja,,
7675,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,985,187","414,287,687",arbol,exotica,baja,,
7676,Eucalyptus camaldulensis,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"23,987,191","414,287,061",arbol,exotica,baja,,
7677,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,318,594","414,459,390",arbol,exotica,baja,,
7678,Eucalyptus camaldulensis,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,Árbol Zona Verde,"24,325,709","414,458,413",arbol,exotica,baja,,
