UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Eucalyptus sp,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,744","414,635,233"
Parque San Jerónimo I y II,Eucalyptus sp,160,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,491,645","414,635,492"
Parque San Jerónimo I y II,Eucalyptus sp,90,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,493,855","414,632,437"
Parque San Jerónimo I y II,Eucalyptus sp,150,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,489,827","414,632,730"
Parque San Jerónimo I y II,Eucalyptus sp,200,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,489,261","414,632,444"
Parque San Jerónimo I y II,Celtis australis,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,627","414,635,499"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,896","414,634,781"
UG,ESPECIE ARBOLES ZONAS VERDES,ALTURA TOTAL,TIPOLOGÍA,BARRIO,DISTRITO,,ELEMENTO,FECHAPLANT,MARRAS,X,Y
Parque San Jerónimo I y II,Fraxinus angustifolia,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,617","414,640,727"
Parque San Jerónimo I y II,Celtis australis,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,488,188","414,642,318"
Parque San Jerónimo I y II,Celtis australis,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,487,487","414,639,141"
Parque San Jerónimo I y II,Fraxinus angustifolia,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,414","414,639,359"
Parque San Jerónimo I y II,Fraxinus angustifolia,50,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,487,367","414,642,775"
Parque San Jerónimo I y II,Fraxinus angustifolia,45,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,488,736","414,638,010"
Parque San Jerónimo I y II,Fraxinus angustifolia,60,Parque Periurbano,,Triana,,Árbol Zona Verde,,,"23,486,516","414,639,997"
Parque San Jerónimo I y II,Celtis australis,50,Parque Periurbano,LA BACHILLERA,Norte,,Árbol Zona Verde,,,"23,488,421","414,643,038"
