"","Especie","Porte","Origen","Importancia_polinizadores","Principal_grupo","Importancia_frugivoros","."
"179","Ficus pumila","arbusto","exotica","baja","avispas","nula",1
"180","Ficus rubiginosa","arbol","exotica","baja","avispas","nula",4
"181","Ficus rubiginosa","arbusto","exotica","baja","avispas","nula",1
"182","Ficus sp","arbusto","exotica","baja","avispas","nula",11
"183","Ficus viren","arbusto","exotica","baja","avispas","nula",1
"184","Firmiana simplex","arbol","exotica","baja","varios","nula",2
"185","Fraxinus americana","arbol","exotica","nula","varios","nula",2
"186","Fraxinus angustifolia","arbol","nativa","nula","varios","nula",341
"187","Fraxinus excelsior","arbol","nativa","nula","varios","nula",92
"188","Fraxinus ornus","arbol","nativa","media","sirfidos","nula",15
"189","Gaura lindheimeri","arbusto","exotica","baja","varios","nula",2
"190","Gleditsia sp","arbusto","exotica","baja","varios","nula",7
"191","Gleditsia triacanthos","arbol","exotica","nula","varios","nula",127
"192","Grevillea robusta","arbol","exotica","nula","varios","nula",52
"193","Grevillea robusta","arbusto","exotica","nula","varios","nula",1
"194","Hedera helix","arbusto","nativa","media","varios","alta",35
"195","Helichrysum petiolare","arbusto","exotica","media","varios","nula",3
"196","Hibiscus mutabilis","arbusto","exotica","baja","varios","nula",21
"197","Hibiscus rosa- sinensis","arbusto","exotica","baja","varios","nula",252
"198","Hibiscus sp","arbusto","exotica","baja","varios","nula",90
"199","Hibiscus syriacus","arbusto","exotica","baja","varios","nula",111
"200","Howea forsteriana","arbusto","exotica","nula","varios","nula",2
"201","Hypericum canariense","arbusto","exotica","alta","varios","nula",4
"202","Hypericum densiflorum","arbusto","exotica","alta","varios","nula",1
"203","Ilex castaneifolia","arbol","exotica","nula","varios","nula",2
"204","Ipomoea palmata","arbusto","exotica","media","varios","nula",5
"205","Iris sp","arbusto","nativa","media","varios","alta",5
"206","Jacaranda mimosifolia","arbol","exotica","baja","varios","nula",135
"207","Jasminum grandiflorum","arbusto","exotica","baja","varios","nula",4
"208","Jasminum humile","arbusto","exotica","baja","varios","nula",2
"209","Jasminum nudiflorum","arbusto","exotica","baja","varios","nula",44
"210","Jasminum officinalis","arbusto","exotica","baja","varios","nula",293
"211","Jasminum polyanthum","arbusto","exotica","baja","varios","nula",20
"212","Jasminum primulinum","arbusto","exotica","baja","varios","nula",33
"213","Jasminum sp","arbusto","exotica","baja","varios","nula",40
"214","Juglans regia","arbol","exotica","nula","varios","nula",3
"215","Juncus acutus","arbusto","nativa","nula","varios","nula",9
"216","Juniperus horizontalis","arbusto","exotica","nula","varios","nula",15
"217","Juniperus sp","arbusto","exotica","nula","varios","nula",24
"218","Juniperus virginiana","arbusto","exotica","nula","varios","nula",1
"219","Justicia adhatoda","arbusto","exotica","media","varios","nula",20
"220","Justicia carnea","arbusto","exotica","media","varios","nula",14
"221","Kalanchoe sp","arbusto","exotica","baja","varios","nula",2
"222","Koelreuteria paniculata","arbusto","exotica","media","varios","nula",1
"223","Laburnum anagyroides","arbusto","exotica","media","varios","nula",2
"224","Lagerstroemia indica","arbol","exotica","media","varios","nula",99
"225","Lagerstroemia indica","arbusto","exotica","media","varios","nula",167
"226","Lagerstroemia speciosa","arbusto","exotica","media","varios","nula",6
"227","Lagunaria patersonii","arbol","exotica","baja","varios","nula",34
"228","Lagunaria patersonii","arbusto","exotica","baja","varios","nula",28
"229","Lantana camara","arbusto","exotica","media","varios","nula",323
"230","Lantana sellowiana","arbusto","exotica","media","varios","nula",1
"231","Lantana sp","arbusto","exotica","media","varios","nula",29
"232","Laurus nobilis","arbusto","exotica","media","varios","alta",132
"233","Lavandula angustifolia","arbusto","nativa","alta","varios","nula",3
"234","Lavandula dentata","arbusto","nativa","alta","varios","nula",13
"235","Lavandula officinalis","arbusto","nativa","alta","varios","nula",7
"236","Lavandula sp","arbusto","nativa","alta","varios","nula",11
"237","Lavandula stoechas","arbusto","nativa","alta","varios","nula",4
"238","Ligustrum japonicum","arbol","exotica","media","varios","nula",29
"239","Ligustrum japonicum","arbusto","exotica","media","varios","nula",61
"240","Ligustrum jonandrum","arbusto","exotica","baja","varios","nula",3
"241","Ligustrum lucidum","arbusto","exotica","baja","varios","nula",7
"242","Ligustrum ovalifolium","arbusto","exotica","baja","varios","nula",50
"243","Ligustrum sinensis","arbusto","exotica","baja","varios","nula",3
"244","Ligustrum sp","arbol","exotica","baja","varios","nula",17
"245","Ligustrum sp","arbusto","exotica","baja","varios","nula",5
"246","Ligustrum vulgare","arbusto","nativa","media","varios","nula",1
"247","Lonicera caprifolium","arbusto","exotica","media","varios","nula",4
"248","Lonicera implexa","arbusto","nativa","media","varios","alta",2
"249","Lonicera japonica","arbusto","exotica","media","varios","nula",37
"250","Lonicera sp","arbusto","exotica","media","varios","nula",6
"251","Magnolia grandiflora","arbol","exotica","media","varios","nula",6
"252","Magnolia grandiflora","arbusto","exotica","media","varios","nula",6
"253","Mahonia sp","arbusto","exotica","media","varios","nula",2
"254","Malvaliscus arboreus","arbusto","exotica","baja","varios","nula",63
"255","Melia azedarach","arbol","exotica","baja","varios","nula",130
"256","Melia azedarach","arbusto","exotica","baja","varios","nula",3
"257","Melianthus sp","arbusto","exotica","baja","varios","nula",6
"258","Mentha sativa","arbusto","nativa","alta","varios","nula",1
"259","Mespilus germanica","arbusto","exotica","media","varios","nula",2
"260","Metrosideros sp","arbusto","exotica","baja","varios","nula",2
"261","Mirabilis jalapa","arbusto","exotica","baja","varios","nula",10
"262","Monstera deliciosa","arbusto","exotica","baja","varios","nula",3
"263","Montanoa bipinnatifida","arbusto","exotica","media","varios","nula",6
"264","Morus alba","arbol","exotica","nula","varios","nula",11
"265","Morus alba 'Pendula'","arbol","exotica","nula","varios","nula",2
"266","Morus kagayamae","arbol","exotica","nula","varios","nula",3
"267","Morus nigra","arbol","exotica","nula","varios","nula",2
"268","Muehlenbekia platicada","arbusto","exotica","baja","varios","nula",2
"269","Musa paradisiaca","arbusto","exotica","nula","varios","nula",5
"270","Musa sp","arbusto","exotica","nula","varios","nula",11
"271","Myoporum acuminatum","arbusto","exotica","baja","varios","nula",7
"272","Myoporum laetum","arbusto","exotica","baja","varios","nula",16
"273","Myrtus communis","arbusto","nativa","alta","varios","alta",90
"274","Nandina doméstica","arbusto","exotica","baja","varios","nula",47
"275","Nerium oleander","arbusto","nativa","baja","varios","nula",2114
"276","Nerium oleander x nana","arbusto","nativa","baja","varios","nula",30
"277","Nicotiana glauca","arbol","exotica","baja","varios","nula",3
"278","Olea europaea","arbol","nativa","nula","varios","alta",1026
"279","Olea europaea","arbusto","nativa","nula","varios","alta",171
"280","Olea europaea x sylvestris","arbol","nativa","nula","varios","alta",2
"281","Olea europaea x sylvestris","arbusto","nativa","nula","varios","alta",12
"282","Opuntia ficus-indica","arbusto","exotica","media","varios","nula",3
"283","Opuntia sp","arbusto","exotica","media","varios","nula",9
"284","Pandorea jasminoides","arbusto","exotica","baja","varios","nula",36
"285","Parkinsonia aculeata","arbol","exotica","baja","varios","nula",9
"286","Parkinsonia aculeata","arbusto","exotica","baja","varios","nula",2
"287","Parthenocissus quinquefolia","arbusto","exotica","baja","varios","nula",21
"288","Parthenocissus tricuspidata","arbusto","exotica","baja","varios","nula",7
"289","Paulownia tomentosa","arbusto","exotica","baja","varios","nula",1
"290","Pennisetum vellosum","arbusto","exotica","nula","varios","nula",25
"291","Persea americana","arbusto","exotica","media","varios","nula",4
"292","Philadelphus coronarius","arbusto","exotica","media","varios","nula",38
"293","Phillyrea angustifolia","arbusto","nativa","nula","varios","alta",18
"294","Philodendron sp","arbusto","exotica","baja","varios","nula",2
"295","Phlomis purpurea","arbusto","nativa","alta","varios","nula",2
"296","Phlomis sp","arbusto","nativa","alta","varios","nula",1
"297","Phoenix sp","arbusto","exotica","nula","varios","nula",1
"298","Phormium tenax","arbusto","exotica","nula","varios","nula",3
"299","Phornium tenax","arbusto","exotica","nula","varios","nula",4
"300","Photinia glabra","arbusto","exotica","media","varios","nula",20
"301","Photinia serrulata","arbusto","exotica","media","varios","nula",62
"302","Photinia sp","arbusto","exotica","media","varios","nula",24
