id,Parque,Tipologia,Barrio,Distrito,exotica,nativa,pol_alta,pol_media,pol_baja,pol_nula,paj_alta,paj_nula
237,LITRI,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
238,"LOS LUCEROS, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,60,2,2,4,56,0,0,62
239,"LOS MERINALES, ROTONDA",,BELLAVISTA,Bellavista-La Palmera,11,0,0,0,11,0,0,11
240,"Luis Fuentes Bejarano, Calle",Arbolado Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,2,7,0,3,6,0,0,9
241,MAESTRO PEDRO BRAÑA,Arbolado Viario,NERVION,Nervión,2,0,0,2,0,0,0,2
242,MANUEL LUNA,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,0,4,0,0,4,0,0,4
243,"MANZANA 54, JARDINES",,EL TARDON-EL CARMEN,Triana,148,0,0,134,14,0,0,148
244,"MANZANA 54, JARDINES",Plaza o Jardín,EL TARDON-EL CARMEN,Triana,3,0,0,0,3,0,0,3
245,"MARÍA PITA, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,1,6,0,6,1,0,0,7
246,MARIANO MOTA,Plaza o Jardín,AMATE,Cerro-Amate,6,3,0,5,4,0,0,9
247,"Marineros Voluntarios, Glorieta",,EL PRADO-PARQUE MARIA LUISA,Sur,1,0,0,0,1,0,0,1
248,"Marineros Voluntarios, Glorieta",,SANTA CRUZ,Casco Antiguo,1,0,0,0,1,0,0,1
249,"Martillo, Calle",Arbolado Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,0,3,0,0,3,0,0,3
250,MARTINETE (EL),Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
251,"MAYOR,JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,4,0,0,0,4,0,0,4
252,"Medicos sin Fronteras, calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,1,4,0,0,5,0,0,5
253,"MÉDICOS SIN FRONTERAS, JARDINES",Parque Urbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,3,7,0,10,0,0,0,10
254,MENIPPO,Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,0,2,0,0,2,0,0,2
255,METALURGIA,Medianas y Glorietas,AEROPUERTO VIEJO,Norte,3,0,0,2,1,0,0,3
256,Montesierra,Jardinería Asociada a Viario,SANTA CLARA,San Pablo-Santa Justa,0,1,0,0,1,0,0,1
257,Muelle Camaronero,Plaza o Jardín,TRIANA CASCO ANTIGUO,Triana,1,19,7,5,8,0,7,13
258,Muelle de Nueva York,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,8,0,0,0,8,0,0,8
259,Muro de Defensa,,BARRIO LEON,Triana,0,6,0,6,0,0,0,6
260,Muro de Defensa,,EL TARDON-EL CARMEN,Triana,0,2,0,0,2,0,0,2
261,Muro de Defensa,,TRIANA OESTE,Triana,6,0,0,0,6,0,0,6
262,NIÑO DE VALLECAS (EL),Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,0,3,0,0,3,0,0,3
263,"NORTE (junto asentamiento del Vacie), PARQUE",Parque Urbano,LOS PRINCIPES-LA FONTANILLA,Macarena,22,529,3,17,125,406,181,370
264,"NORTE PINO MONTANO, PARQUE",Parque Urbano,BARRIADA PINO MONTANO,Norte,28,49,17,35,24,1,46,31
265,"Nuestra Señora de los Desamparados, Calle",Arbolado Viario,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,1,0,0,0,1,0,0,1
266,Nuevo Cauce del Guadaira-Palmas Altas,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,0,19,0,19,0,0,0,19
267,"ONGs, Avda.",Arbolado Viario,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,0,4,0,0,4,0,0,4
268,OPERA CARMEN,Arbolado Viario,SANTA CLARA,San Pablo-Santa Justa,25,4,3,11,9,6,7,22
269,"PADRE CASTRO, PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,11,8,0,3,16,0,2,17
270,"PALMERA (LA),AV",Arbolado Viario,SECTOR SUR-LA PALMERA-REINA MERCEDES,Bellavista-La Palmera,34,0,0,0,34,0,0,34
271,PARKING VEGA DE TRIANA,,TRIANA OESTE,Triana,42,17,6,21,0,32,3,56
272,PARQUE ANTIOQUIA.,Parque Urbano,SAN PABLO D Y E,San Pablo-Santa Justa,1,1,0,1,1,0,0,2
273,PARQUE BORDAS CHINCHURRETA,Parque Urbano,EL FONTANAL- MARIA AUXILIADORA- CARRETERA DE CARMONA,San Pablo-Santa Justa,2,19,0,0,2,19,19,2
274,Parque de Amate,,SANTA AURELIA-CANTABRICO-ATLANTICO- LA ROMERIA,Cerro-Amate,6,0,0,0,6,0,0,6
275,Parque de Amate,Parque Urbano,SANTA AURELIA-CANTABRICO-ATLANTICO- LA ROMERIA,Cerro-Amate,77,46,6,47,61,9,18,105
276,Parque de los Bermejales,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,81,1066,67,6,107,967,759,388
277,Parque de los Príncipes,,LOS REMEDIOS,Los Remedios,1,0,0,0,1,0,0,1
278,Parque de los Príncipes,Parque Urbano,LOS REMEDIOS,Los Remedios,162,45,0,94,112,1,0,207
279,Parque de María Luisa,,EL PRADO-PARQUE MARIA LUISA,Sur,2,0,0,0,2,0,0,2
280,Parque de María Luisa,Parque o Jardín Histórico,EL PRADO-PARQUE MARIA LUISA,Sur,386,103,19,146,302,22,70,419
281,Parque del Tamarguillo,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,1407,2402,5,197,1290,2317,779,3030
282,Parque del Tamarguillo,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,118,293,12,86,119,194,183,228
283,Parque Guadaira I,Parque Periurbano,POLIGONO SUR,Sur,10,42,1,33,10,8,2,50
284,Parque Guadaira II,Parque Periurbano,BELLAVISTA,Bellavista-La Palmera,0,10,5,5,0,0,5,5
285,Parque Guadaira II,Parque Periurbano,EL CANO-BERMEJALES,Bellavista-La Palmera,0,9,9,0,0,0,9,0
286,Parque Guadaira II,Parque Periurbano,POLIGONO SUR,Sur,38,286,30,107,112,75,157,167
287,Parque Infanta Elena,,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,0,1,0,0,0,1,1,0
288,Parque Infanta Elena,Parque Periurbano,COLORES- ENTREPARQUES,Este-Alcosa- Torreblanca,84,70,1,12,3,138,63,91
289,Parque Infanta Elena,Parque Periurbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,13,14,5,14,2,6,10,17
290,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,896,1374,3,77,275,1915,939,1331
291,Parque Infanta Elena,Parque Periurbano,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,124,454,141,169,174,94,213,365
292,PARQUE LA MEDIA LUNITA,,EL PLANTINAR,Sur,10,0,0,2,8,0,0,10
293,Parque Miraflores I,Parque Urbano,AEROPUERTO VIEJO,Norte,23,10,5,9,19,0,7,26
294,Parque Miraflores I,Parque Urbano,EL GORDILLO,Norte,85,26,14,27,59,11,6,105
295,Parque Miraflores I,Parque Urbano,LAS ALMENAS,Norte,15,13,0,3,25,0,13,15
296,Parque Miraflores I,Parque Urbano,SAN DIEGO,Norte,0,2,2,0,0,0,0,2
297,Parque Miraflores II,Parque Urbano,EL GORDILLO,Norte,7,4,0,1,7,3,0,11
298,Parque Plaza del Olivo,,LOS PRINCIPES-LA FONTANILLA,Macarena,23,0,0,23,0,0,0,23
299,Parque San Jerónimo I y II,Parque Periurbano,,Triana,56,37,0,0,56,37,12,81
300,Parque San Jerónimo I y II,Parque Periurbano,LA BACHILLERA,Norte,1127,497,13,152,839,620,105,1519
301,Parque San Jerónimo I y II,Parque Periurbano,SAN JERONIMO,Norte,481,325,0,372,131,303,76,730
302,Parque Vega de Triana,Parque Periurbano,TRIANA OESTE,Triana,118,58,0,2,93,81,56,120
303,"PARQUES DE ANDALUCÍA, JARDINES PLAZA",Plaza o Jardín,BARRIADA PINO MONTANO,Norte,75,0,0,2,73,0,0,75
304,PASAJE NUESTRA SEÑORA DE LA CONSOLACIóN,Sin Recepcionar,CONSOLACION,Norte,0,1,0,0,1,0,0,1
305,Pasarela,Medianas y Glorietas,EL PRADO-PARQUE MARIA LUISA,Sur,44,0,0,0,44,0,0,44
306,Pasarela,Medianas y Glorietas,SAN BERNARDO,Nervión,24,0,0,1,23,0,0,24
307,Pasarela,Medianas y Glorietas,SANTA CRUZ,Casco Antiguo,10,0,0,0,10,0,0,10
308,Paseo de Colón,Arbolado Viario,ARENAL,Casco Antiguo,89,12,5,76,16,4,0,101
309,Paseo de Colón,Arbolado Viario,SANTA CRUZ,Casco Antiguo,1,0,0,0,0,1,0,1
310,Paseo de Colón,Jardinería Asociada a Viario,ARENAL,Casco Antiguo,9,2,0,5,6,0,0,11
311,Paseo de Colón,Jardinería Asociada a Viario,SANTA CRUZ,Casco Antiguo,1,0,0,0,1,0,0,1
312,PASEO DE EUROPA,Arbolado Viario,EL CANO-BERMEJALES,Bellavista-La Palmera,1,0,0,0,1,0,0,1
313,Paseo Juan Carlos I (Casco Antiguo),,SAN LORENZO,Casco Antiguo,1,5,0,0,3,3,2,4
314,Paseo Juan Carlos I (Casco Antiguo),Plaza o Jardín,SAN LORENZO,Casco Antiguo,137,123,0,27,104,129,29,231
315,Paseo Juan Carlos I (Casco Antiguo),Plaza o Jardín,SAN VICENTE,Casco Antiguo,34,49,0,12,32,39,0,83
316,Paseo Juan Carlos I (Macarena),Plaza o Jardín,DOCTOR BARRAQUER- GRUPO RENFE- POLICLINICO,Macarena,54,102,0,24,0,132,17,139
317,Paseo Juan Carlos I (Macarena),Plaza o Jardín,DOCTOR BARRAQUER-GRUPO RENFE- POLICLINICO,Macarena,0,51,0,0,51,0,0,51
318,Paseo Juan Carlos I (Macarena),Plaza o Jardín,LA PAZ-LAS GOLONDRINAS,Macarena,10,32,0,7,11,24,15,27
319,Paseo Juan Carlos I (Macarena),Plaza o Jardín,MACARENA TRES HUERTAS- MACARENA CINCO,Macarena,22,52,0,10,0,64,23,51
320,Paseo Juan Carlos I (Macarena),Plaza o Jardín,MACARENA TRES HUERTAS-MACARENA CINCO,Macarena,0,18,0,2,16,0,0,18
321,PASEO LAS DELICIAS,Medianas y Glorietas,EL PRADO-PARQUE MARIA LUISA,Sur,2,0,0,0,2,0,0,2
322,PASEO NUESTRA SEÑORA DE LA O,Plaza o Jardín,TRIANA CASCO ANTIGUO,Triana,0,55,0,0,55,0,0,55
323,Patio Banderas,Arbolado Viario,SANTA CRUZ,Casco Antiguo,36,0,0,36,0,0,0,36
324,"PEDRO SANTOS GóMEZ, JARDINES PLAZA",Plaza o Jardín,TRIANA OESTE,Triana,27,0,0,3,24,0,0,27
325,PEPE HILLO,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,0,1,0,0,1,0,0,1
326,PERIODISTA EMILIO SEGURA,Arbolado Viario,SAN BERNARDO,Nervión,1,0,0,1,0,0,0,1
327,PIANISTA JOSÉ ROMERO. PARQUE,,EL FONTANAL-MARIA AUXILIADORA- CARRETERA DE CARMONA,San Pablo-Santa Justa,0,56,0,0,56,0,0,56
328,PIANISTA JOSÉ ROMERO. PARQUE,Plaza o Jardín,EL FONTANAL- MARIA AUXILIADORA- CARRETERA DE CARMONA,San Pablo-Santa Justa,48,0,0,36,12,0,0,48
329,Pineda Parque,Arbolado Viario,PEDRO SALVADOR-LAS PALMERITAS- GUADAIRA,Bellavista-La Palmera,39,125,0,38,59,67,101,63
330,PINO DE SANTA CLARA (EL),Arbolado Viario,SANTA CLARA,San Pablo-Santa Justa,0,1,0,1,0,0,1,0
331,PINO SIBERIA,Arbolado Viario,PALMETE,Cerro-Amate,1,0,0,0,1,0,0,1
332,PINTARROJA,,SAN JERONIMO,Norte,2,0,0,0,2,0,0,2
333,"PIO XII, PZ",,PIO XII,Macarena,0,4,0,0,4,0,0,4
334,"PIO XII, PZ",Arbolado Viario,PIO XII,Macarena,2,0,0,1,1,0,0,2
335,"PIO XII, PZ",Plaza o Jardín,PIO XII,Macarena,25,0,0,6,19,0,0,25
336,PIROTECNIA,Parque Urbano,GIRALDA SUR,Sur,2,0,0,1,1,0,0,2
337,PLAZA ALCALDE HORACIO HERMOSO,Plaza o Jardín,TIRO DE LINEA-SANTA GENOVEVA,Sur,1,0,0,0,1,0,0,1
338,Plaza Alfaro,Arbolado Viario,SANTA CRUZ,Casco Antiguo,3,0,0,3,0,0,0,3
339,Plaza Alianza,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,10,0,0,10,0,0,0,10
340,PLAZA AVIADOR RUIZ DE ALDA,Plaza o Jardín,HUERTA DE LA SALUD,Sur,6,2,0,1,7,0,0,8
341,Plaza de Doña Elvira,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,13,0,0,13,0,0,0,13
342,PLAZA DE LA TONÁ,Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,1,0,0,1,0,0,0,1
343,Plaza de los Refinadores (Medios Propios),Plaza o Jardín,SANTA CRUZ,Casco Antiguo,21,0,0,14,7,0,0,21
344,Plaza de los Venerables,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,2,0,0,2,0,0,0,2
345,Plaza de Refinadores,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,7,0,0,7,0,0,0,7
346,Plaza de Santa Cruz (Medios Propios),Plaza o Jardín,SANTA CRUZ,Casco Antiguo,30,0,0,4,26,0,0,30
347,Plaza del Triunfo,,SANTA CRUZ,Casco Antiguo,3,0,0,1,2,0,0,3
348,Plaza del Triunfo,Arbolado Viario,SANTA CRUZ,Casco Antiguo,20,0,0,20,0,0,0,20
349,Plaza del triunfo (Medios Propios),Plaza o Jardín,SANTA CRUZ,Casco Antiguo,5,10,0,5,0,10,0,15
350,PLAZA FCO. GRANADOS SALVADOR,,AMATE,Cerro-Amate,0,14,0,0,14,0,0,14
351,PLAZA LAS MENINAS,Arbolado Viario,SAN PABLO A Y B,San Pablo-Santa Justa,0,1,0,0,1,0,0,1
352,Plaza Letrados de Sevilla,Jardinería Asociada a Viario,TABLADA,Los Remedios,5,0,0,0,0,5,0,5
353,Plaza Santa Cruz,Plaza o Jardín,SANTA CRUZ,Casco Antiguo,15,0,0,15,0,0,0,15
354,PLAZA ZODIACO,Plaza o Jardín,LOS PAJAROS,Cerro-Amate,8,0,0,0,8,0,0,8
355,PMI Triana-Los Remedios - Monte Pirolo - Consumo,Edificios Municipales,TRIANA OESTE,Triana,2,0,0,0,2,0,0,2
356,Praderas de Malaga,,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,3,0,0,3,0,0,0,3
357,Praderas de Malaga,Jardinería Asociada a Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,0,5,0,0,5,0,0,5
358,Praderas de Malaga,Jardinería Asociada a Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,4,8,0,7,5,0,1,11
359,PRESIDENTE ADOLFO SUAREZ,,LOS REMEDIOS,Los Remedios,7,0,0,0,7,0,0,7
360,PRESIDENTE ADOLFO SUAREZ,Arbolado Viario,LOS REMEDIOS,Los Remedios,6,2,1,1,6,0,0,8
361,"Primo Nebiolo, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,1,3,0,0,4,0,0,4
362,PUEBLO PALESTINO JARDINES PLAZA,Plaza o Jardín,LOS PRINCIPES-LA FONTANILLA,Macarena,3,1,0,0,4,0,0,4
363,PUEBLO SAHARAUI,Arbolado Viario,LAS HUERTAS,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
364,PUENTE PASARELA DE LA CARTUJA,,TRIANA OESTE,Triana,3,0,0,3,0,0,0,3
365,Puerta de Jerez,,SANTA CRUZ,Casco Antiguo,0,1,0,0,0,1,0,1
366,Puerta de Jerez,Arbolado Viario,SANTA CRUZ,Casco Antiguo,18,10,0,15,0,13,0,28
367,Puerta de Jerez ( Medios Propios),Medianas y Glorietas,SANTA CRUZ,Casco Antiguo,0,8,0,0,0,8,0,8
368,PZ ALTOZANO,Plaza o Jardín,TRIANA CASCO ANTIGUO,Triana,2,2,2,1,1,0,2,2
369,PZ BEETHOVEN,Plaza o Jardín,CRUZ ROJA-CAPUCHINOS,Macarena,16,24,0,3,37,0,0,40
370,PZ CONCORDIA,Plaza o Jardín,ENCARNACION-REGINA,Casco Antiguo,5,0,0,0,4,1,0,5
371,PZ CUBA,,LOS REMEDIOS,Los Remedios,4,0,0,0,4,0,0,4
372,PZ CUBA,Medianas y Glorietas,LOS REMEDIOS,Los Remedios,10,0,0,7,2,1,0,10
373,PZ CUBA,Medianas y Glorietas,TRIANA CASCO ANTIGUO,Triana,8,0,0,0,8,0,0,8
374,PZ DUQUESA CAYETANA DE ALBA,Medianas y Glorietas,DOCTOR BARRAQUER-GRUPO RENFE- POLICLINICO,Macarena,7,0,0,7,0,0,4,3
375,PZ DUQUESA CAYETANA DE ALBA,Medianas y Glorietas,SAN LORENZO,Casco Antiguo,7,0,0,7,0,0,4,3
376,PZ ESCULA DE CRISTO,,SANTA CRUZ,Casco Antiguo,1,0,0,0,1,0,0,1
377,PZ GAVIDIA,Arbolado Viario,ENCARNACION-REGINA,Casco Antiguo,1,0,0,0,1,0,0,1
378,PZ LA AUTONOMIA,Sin Recepcionar,PIO XII,Macarena,16,0,0,0,16,0,0,16
379,PZ MANUEL GARRIDO,,LA BARZOLA,Macarena,2,0,0,0,2,0,0,2
380,PZ MANUEL GARRIDO,Plaza o Jardín,LA BARZOLA,Macarena,2,3,0,0,5,0,0,5
381,PZ PADRE JERONIMO DE CORDOBA,Arbolado Viario,SANTA CATALINA,Casco Antiguo,2,0,0,0,2,0,0,2
382,PZ PILATOS,Plaza o Jardín,SAN BARTOLOME,Casco Antiguo,15,0,0,0,15,0,0,15
383,PZ SALESIANO DON UBALDO,,TRIANA ESTE,Triana,65,1,0,0,60,6,1,65
384,PZ SAN MARTIN DE PORRES,Plaza o Jardín,BARRIO LEON,Triana,1,0,0,1,0,0,0,1
385,PZ SAN MARTIN DE PORRES,Plaza o Jardín,TRIANA ESTE,Triana,2,0,0,0,2,0,0,2
386,RAFAEL LAFFON,Arbolado Viario,SAN CARLOS-TARTESSOS,San Pablo-Santa Justa,2,1,0,2,1,0,0,3
387,"Rafael Montesiones, Jardines",Plaza o Jardín,ARENAL,Casco Antiguo,60,44,32,3,19,50,31,73
388,RAFAEL SALGADO,Arbolado Viario,BAMI,Sur,24,0,0,4,20,0,0,24
389,"Rastrillo, Calle",Parque Periurbano,PALACIO DE CONGRESOS- URBADIEZ- ENTREPUENTES,Este-Alcosa- Torreblanca,13,0,0,0,11,2,0,13
390,Republica de China,Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,3,9,2,1,9,0,0,12
391,RONDA TAMARGUILLO ISLETA ALCAMPO,Medianas y Glorietas,AVENIDA DE LA PAZ,Sur,4,1,0,4,1,0,0,5
392,RONDA TAMARGUILLO ISLETA ALCAMPO,Medianas y Glorietas,EL PLANTINAR,Sur,3,0,0,2,1,0,0,3
393,RONDEÑA (LA),Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,1,0,0,1,0,0,0,1
394,ROTONDA 112,Jardinería Asociada a Viario,TORREBLANCA,Este-Alcosa-Torreblanca,0,1,0,1,0,0,0,1
395,ROTONDA AVDA LAS CIENCIAS-FLORA TRISTAN,Medianas y Glorietas,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,26,6,1,16,14,1,4,28
396,Rotonda de la Glorieta de los Marineros (Medios Propios),,EL PRADO-PARQUE MARIA LUISA,Sur,5,0,0,0,5,0,0,5
397,ROTONDA MIGUEL ANGEL BLANCO,Medianas y Glorietas,POLIGONO SUR,Sur,2,6,0,0,8,0,0,8
398,RUPERTO CHAPI GLORIETA,,AMATE,Cerro-Amate,0,1,0,0,1,0,0,1
399,RUPERTO CHAPI GLORIETA,,CIUDAD JARDIN,Nervión,5,3,0,1,7,0,0,8
400,RUPERTO CHAPI GLORIETA,,EL CERRO,Cerro-Amate,12,3,0,5,10,0,0,15
401,"Salvador Valverde, Plaza",Plaza o Jardín,TORREBLANCA,Este-Alcosa-Torreblanca,5,0,0,0,5,0,0,5
402,San Juan de Ribera,Medianas y Glorietas,LEON XIII-LOS NARANJOS,Macarena,4,0,0,1,3,0,0,4
403,SANTA FE,Medianas y Glorietas,LOS REMEDIOS,Los Remedios,2,0,0,0,2,0,0,2
404,"SANTA ISABEL, JARDINES PLAZA",Plaza o Jardín,SAN JULIAN,Casco Antiguo,3,2,0,0,5,0,0,5
405,Santa Marta,Arbolado Viario,SANTA CRUZ,Casco Antiguo,6,0,0,6,0,0,0,6
406,"SECTOR 11 (Fernanda Calado Rosales), PLAZA ARBOLADA",Plaza o Jardín,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,37,0,0,0,37,0,0,37
407,"SECTOR 14, PARQUE",Sin Recepcionar,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,36,0,0,0,36,0,0,36
408,"SECTOR 15, PLAZA AJARDINADA",Plaza o Jardín,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,20,0,0,0,20,0,0,20
409,SERRUCHO,,AEROPUERTO VIEJO,Norte,1,1,0,1,1,0,0,2
410,"SOLEA (LA), AVDA",Arbolado Viario,SAN PABLO A Y B,San Pablo-Santa Justa,0,4,0,0,3,1,0,4
411,SOLEARILLA (LA),Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,3,0,0,0,3,0,0,3
412,SUEÑO DEL PATRICIO,Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,12,0,0,0,12,0,0,12
413,SUR PINO MONTANO. PARQUE,Parque Urbano,BARRIADA PINO MONTANO,Norte,123,15,0,117,21,0,0,138
414,"Taiwan, Calle",Medianas y Glorietas,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,2,25,0,4,23,0,4,23
415,TARSO,,SAN PABLO A Y B,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
416,TARSO,Medianas y Glorietas,SAN PABLO A Y B,San Pablo-Santa Justa,4,6,0,2,8,0,0,10
417,TARSO,Medianas y Glorietas,SANTA CLARA,San Pablo-Santa Justa,2,0,0,0,0,2,0,2
418,TERMODINACA,,LA BACHILLERA,Norte,0,2,1,0,1,0,0,2
419,TESALONICA,Medianas y Glorietas,SAN PABLO D Y E,San Pablo-Santa Justa,2,0,0,0,2,0,0,2
420,TIENTOS (LOS),Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
421,"Tigris, Calle",Arbolado Viario,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,1,28,0,0,29,0,0,29
422,"TORCUATO LUCA DE TENA,CL",Arbolado Viario,POLIGONO SUR,Sur,0,169,169,0,0,0,169,0
423,"TORRE  PERDIGONES,PARQUE",Parque Urbano,DOCTOR BARRAQUER-GRUPO RENFE- POLICLINICO,Macarena,39,0,0,8,31,0,0,39
424,TRASERA AYORA-CULLERA,Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,1,1,0,1,1,0,0,2
425,TRASERA CIUDAD DE CULLERA - CIUDAD DE CARLET,Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,0,2,0,0,2,0,0,2
426,TRASERA CIUDAD DE ONTENIENTE,Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,0,1,0,0,1,0,0,1
427,TRASERA CIUDAD DE SUECA,Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,1,0,0,0,1,0,0,1
428,TRASERA ONTENIENTE-CARCAGENTE,Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,5,0,0,0,5,0,0,5
429,TRASERA SUECA-GANDIA,Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,7,2,0,5,4,0,1,8
430,TROVADOR,,HUERTA DEL PILAR,Nervión,1,0,0,0,1,0,0,1
431,"Turia, Avenida",Arbolado Viario,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,1,0,0,0,1,0,0,1
432,U.G. Glorieta Buenos Aires,Medianas y Glorietas,EL PRADO-PARQUE MARIA LUISA,Sur,2,0,0,0,2,0,0,2
433,UG Avenida María Luisa,Arbolado Viario,SANTA CRUZ,Casco Antiguo,32,0,0,0,32,0,0,32
434,UG Paseo Juan Carlos I Talud (Lote 3),Plaza o Jardín,SAN VICENTE,Casco Antiguo,2,54,0,0,3,53,31,25
435,"Ulises, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,4,4,0,2,5,1,1,7
436,"URBANIZACIóN  POLÍGONO AEROPUERTO, PARQUE",Parque Urbano,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,5,0,0,0,5,0,0,5
437,"URBANIZACIóN P-7 (PINO MONTANO), PARQUE",Parque Urbano,BARRIADA PINO MONTANO,Norte,80,11,0,23,53,15,0,91
438,Urbano Orad,Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,4,8,0,3,9,0,0,12
439,VERDIALES (LAS),Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,1,2,2,0,1,0,0,3
440,VIA APIA,Arbolado Viario,PALMETE,Cerro-Amate,4,0,0,4,0,0,4,0
441,VIA APIA,Arbolado Viario,TORREBLANCA,Este-Alcosa-Torreblanca,1,0,0,1,0,0,1,0
442,VICENTE ALEIXANDRE,Plaza o Jardín,EL PORVENIR,Sur,10,0,0,0,10,0,0,10
443,VILLAS DE CUBA (LAS),Arbolado Viario,SANTA CLARA,San Pablo-Santa Justa,1,0,0,0,1,0,0,1
444,VIRGEN DE LA ANTIGUA,,LOS REMEDIOS,Los Remedios,5,0,0,0,5,0,0,5
445,VIRGEN DE LA HUMILDAD,,SAN PABLO A Y B,San Pablo-Santa Justa,0,2,0,0,2,0,0,2
446,VIRGEN DE LA OLIVA,Medianas y Glorietas,LOS REMEDIOS,Los Remedios,0,3,0,0,3,0,0,3
447,Virgen de los Reyes,,SANTA CRUZ,Casco Antiguo,1,0,0,1,0,0,0,1
448,Virgen de los Reyes,Arbolado Viario,SANTA CRUZ,Casco Antiguo,26,0,0,26,0,0,0,26
449,VIRGEN DE ROBLEDO,Jardinería Asociada a Viario,LOS REMEDIOS,Los Remedios,3,0,0,0,3,0,0,3
450,"VIRGEN DEL PILAR, JARDÍN PLAZA.",Plaza o Jardín,LA BARZOLA,Macarena,20,0,0,20,0,0,0,20
451,"VIRGEN SANTA MARÍA DEL MAR, JARDINES",Parque Urbano,CISNEO ALTO-SANTA MARIA DE GRACIA,Macarena,10,11,0,3,18,0,0,21
