id,Parque,Tipologia,Barrio,Distrito,exotica,nativa,pol_alta,pol_media,pol_baja,pol_nula,paj_alta,paj_nula
97,"Cueva de la Pileta, Calle",Arbolado Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,1,1,0,0,2,0,0,2
98,"Cueva de Menga, calle",Sin Recepcionar,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,9,0,0,9,0,0,0,9
99,"Cueva del Agua, calle",Sin Recepcionar,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,20,0,0,20,0,0,0,20
100,"Cueva del Gato, Calle",Arbolado Viario,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,1,0,0,1,0,0,0,1
101,"DE GOMILA, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,88,3,2,6,73,10,3,88
102,"DE LA CONCORDIA, JARDINES PLAZA",Plaza o Jardín,ENCARNACION-REGINA,Casco Antiguo,17,4,0,0,21,0,0,21
103,"DE LA DÁRSENA, JARDINES",Plaza o Jardín,TRIANA OESTE,Triana,13,0,0,1,12,0,0,13
104,"DE LA ENCARNACIóN, JARDINES PLAZA",,ALFALFA,Casco Antiguo,15,0,0,0,15,0,0,15
105,"DE LA ENCARNACIóN, JARDINES PLAZA",Plaza o Jardín,ALFALFA,Casco Antiguo,14,8,3,7,11,1,8,14
106,"DE LA ENCARNACIóN, JARDINES PLAZA",Plaza o Jardín,ENCARNACION-REGINA,Casco Antiguo,3,0,0,2,1,0,0,3
107,"DE LAS MONJAS, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,80,6,3,21,58,4,3,83
108,"DE LAS TENDILLAS, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,75,1,0,4,71,1,0,76
109,"DE ORIENTE, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,98,1,0,1,98,0,0,99
110,"DE ZOCODOVER, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,94,3,3,4,89,1,0,97
111,"DEL COLLAO, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,62,12,1,19,51,3,2,72
112,"DEL DUQUE, JARDINES PLAZA",Plaza o Jardín,ENCARNACION-REGINA,Casco Antiguo,8,0,0,4,4,0,0,8
113,"DEL MUSEO, JARDINES PLAZA",Plaza o Jardín,MUSEO,Casco Antiguo,16,0,0,16,0,0,0,16
114,"DEL OBRADOIRO, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,67,15,1,1,79,1,1,81
115,"DEL REY AURELIO, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,142,1,0,1,142,0,0,143
116,"DEL TURRUÑUELO, PARQUE",Parque Urbano,TRIANA OESTE,Triana,32,0,0,9,23,0,0,32
117,"DEL VALLE, JARDINES",Parque Urbano,SANTA CATALINA,Casco Antiguo,81,39,2,36,82,0,3,117
118,"DEL ZURRAQUE, JARDINES PLAZA",Plaza o Jardín,TRIANA OESTE,Triana,15,0,0,0,9,6,0,15
119,"Delicias, Paseo",,SANTA CRUZ,Casco Antiguo,4,1,0,0,4,1,0,5
120,"Delicias, Paseo",Arbolado Viario,SANTA CRUZ,Casco Antiguo,37,55,0,0,34,58,0,92
121,"Demófilo, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,1,0,0,0,1,0,0,1
122,"Deporte, El (Avenida)",Medianas y Glorietas,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,26,18,1,25,13,5,7,37
123,"Deporte, El (Avenida)",Medianas y Glorietas,TORREBLANCA,Este-Alcosa-Torreblanca,15,9,6,17,1,0,7,17
124,DESTORNILLADOR,,AEROPUERTO VIEJO,Norte,1,0,0,1,0,0,0,1
125,DIEGO DE RIAÑO,Arbolado Viario,EL PRADO-PARQUE MARIA LUISA,Sur,1,0,0,0,1,0,0,1
126,DIEGO GALVEZ,,AMATE,Cerro-Amate,1,0,0,0,1,0,0,1
127,"DIPUTADO RAMóN RUEDA, JARDINES PLAZA.",,BARRIADA PINO MONTANO,Norte,14,1,0,1,14,0,0,15
128,"DIPUTADO RAMóN RUEDA, JARDINES PLAZA.",Plaza o Jardín,BARRIADA PINO MONTANO,Norte,20,4,0,2,22,0,0,24
129,DOCTOR ANTONIO CORTÉS LLADó,Arbolado Viario,HUERTA DE LA SALUD,Sur,30,1,0,9,19,3,0,31
130,DOCTOR GABRIEL SANCHEZ DE LA CUESTA,Arbolado Viario,HUERTA DE LA SALUD,Sur,7,2,0,0,8,1,0,9
131,DOCTOR JOSÉ Ma BEDOYA,,HUERTA DE LA SALUD,Sur,2,0,0,0,0,2,0,2
132,DOCTOR JOSÉ Ma BEDOYA,Plaza o Jardín,HUERTA DE LA SALUD,Sur,60,6,0,26,38,2,3,63
133,"Doctor Miguel Ríos Sarmiento, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,6,4,0,7,3,0,1,9
134,DON JUAN,Arbolado Viario,SANTA CLARA,San Pablo-Santa Justa,16,10,0,2,22,2,0,26
135,DOÑA FRANCISQUITA (BIOSALUDABLES),,JUAN XXIII,Cerro-Amate,10,0,0,10,0,0,0,10
136,DONANTES DE ORGANOS,Arbolado Viario,SAN PABLO D Y E,San Pablo-Santa Justa,0,2,0,0,2,0,0,2
137,EDUARDO DATO,,SAN BERNARDO,Nervión,4,0,0,0,4,0,0,4
138,EDUARDO DATO,Arbolado Viario,LA FLORIDA,Nervión,6,0,0,0,2,4,0,6
139,EDUARDO DATO,Arbolado Viario,SAN BERNARDO,Nervión,10,0,0,0,6,4,0,10
140,EDUARDO GARCIA MAROTO,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,0,3,0,0,3,0,0,3
141,EFESO,Arbolado Viario,LAS HUERTAS,San Pablo-Santa Justa,0,1,0,0,1,0,0,1
142,EFESO,Arbolado Viario,SAN PABLO A Y B,San Pablo-Santa Justa,2,4,1,0,5,0,0,6
143,EL CHICLANERO,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,0,1,0,0,1,0,0,1
144,El Populo,Sin Recepcionar,PALACIO DE CONGRESOS-URBADIEZ- ENTREPUENTES,Este-Alcosa-Torreblanca,3,3,0,0,6,0,0,6
145,"Elda, calle",Arbolado Viario,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,0,1,0,0,1,0,0,1
146,ELISA RUIZ ROMERO,Plaza o Jardín,SAN PABLO D Y E,San Pablo-Santa Justa,0,8,0,0,8,0,0,8
147,"Emilio Lemos, Avda.",Medianas y Glorietas,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,26,32,0,15,42,1,1,57
148,"EMILIO LEMOS, PARQUE",Parque Urbano,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,25,0,0,9,16,0,0,25
149,"ENCINA DEL REY, JARDINES PLAZA",Plaza o Jardín,PARQUE ALCOSA-JARDINES DEL EDEN,Este-Alcosa-Torreblanca,69,10,7,4,66,2,1,78
150,Esperanza Velez Lamadrid Gta.,Medianas y Glorietas,POLIGONO SUR,Sur,3,0,0,2,1,0,0,3
151,ESPINOSA Y CARCEL,Arbolado Viario,NERVION,Nervión,0,1,0,0,1,0,0,1
